,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,dropout_3,neurons_layer_4,kernel_size,mean_fit_time
32,35,-0.6655357877413431,0.0052111680098182326,-0.7437451283137003,0.008286733903316898,relu,128,20,256,128,64,0.5,0.3,0.01,0.1,32,3,204.70762888590494
50,36,-0.665095329284668,0.0057771682117002685,-0.7402871052424113,0.008131325327165314,relu,256,20,256,128,64,0.5,0.5,0.01,0.1,32,3,197.93587120374045
40,37,-0.6650074124336243,0.0021671223608541955,-0.765967845916748,0.002609142803915406,relu,256,20,256,128,64,0.5,0.5,0.001,0.3,32,3,199.279820283254
1,38,-0.6644786993662516,0.003586177742871313,-0.7442736228307089,0.0002193318234999157,relu,128,20,256,128,64,0.5,0.5,0.001,0.3,32,5,283.257141272227
68,39,-0.6636417309443156,0.004854447519990571,-0.7438332041104635,0.0024005813704327866,relu,256,20,256,128,64,0.5,0.3,0.01,0.1,32,3,201.54492688179016
10,40,-0.6635537147521973,0.007963862883476877,-0.7439653476079305,0.00721790563106652,relu,128,20,256,128,64,0.5,0.5,0.001,0.1,32,5,289.57293740908307
13,41,-0.6614836653073629,0.0021993729263294344,-0.7716941038767496,0.0003795642447302575,relu,128,20,256,128,64,0.5,0.5,0.001,0.1,32,3,206.64191007614136
11,42,-0.6611305077870687,0.013690292512741668,-0.7012600700060526,0.00904184610651915,relu,128,20,256,128,64,0.5,0.5,0.01,0.1,32,5,288.89444430669147
56,43,-0.660338282585144,0.0008641859556105969,-0.7046075264612833,0.009359935699822644,relu,256,20,256,128,64,0.5,0.3,0.01,0.3,32,5,274.84890127182007
29,44,-0.660029411315918,0.009294712056585714,-0.7063697576522827,0.009249546501918861,relu,128,20,256,128,64,0.5,0.3,0.01,0.1,32,5,283.105544090271
23,45,-0.6586200992266337,0.005087688580381538,-0.7339222232500712,0.005238132203854555,relu,128,20,256,128,64,0.5,0.3,0.01,0.3,32,3,205.9749375184377
33,46,-0.6536870201428732,0.002232243856261995,-0.6709981362024943,0.0018514923396860746,relu,128,20,256,128,64,0.5,0.3,0.0001,0.1,32,26,250.49683713912964
15,47,-0.6534223357836405,0.006702341508863609,-0.670249342918396,0.0017038712593283561,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,26,229.51855190594992
51,48,-0.6511320273081461,0.004504534534581652,-0.6679367621739706,0.0006178253056340461,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,26,214.67207026481628
61,49,-0.6493256489435831,0.010525953401188393,-0.6658005714416504,0.009044972575353744,relu,256,20,256,128,64,0.5,0.3,0.001,0.3,32,26,229.68071142832437
