,criterion,min_samples_leaf,max_depth,min_samples_split,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
111,entropy,20,5,20,-0.6247025514983693,0.0019196259449879858,-0.6250550181764993,0.0013832440826013473,125,3.3478352228800454
1,gini,1,2,5,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.2134511470794678
2,gini,1,2,10,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.177393913269043
3,gini,1,2,20,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.166813691457113
7,gini,5,2,20,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.154127518335978
5,gini,5,2,5,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.159101406733195
8,gini,10,2,2,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.155674854914347
9,gini,10,2,5,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.1499996980031333
10,gini,10,2,10,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.150939146677653
11,gini,10,2,20,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.147463003794352
4,gini,5,2,2,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.1627442042032876
6,gini,5,2,10,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.157433350880941
0,gini,1,2,2,-0.5954101720658849,0.0019421536342883936,-0.5954541645054137,0.0010018443496409497,129,3.2362897396087646
15,gini,20,2,20,-0.5948375449927092,0.001782670518012727,-0.5949696189065455,0.0011282841985132278,141,3.144450028737386
14,gini,20,2,10,-0.5948375449927092,0.001782670518012727,-0.5949696189065455,0.0011282841985132278,141,3.147299607594808
13,gini,20,2,5,-0.5948375449927092,0.001782670518012727,-0.5949696189065455,0.0011282841985132278,141,3.146498123804728
12,gini,20,2,2,-0.5948375449927092,0.001782670518012727,-0.5949696189065455,0.0011282841985132278,141,3.1444734732309976
93,entropy,20,2,5,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.161221424738566
80,entropy,1,2,2,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.217562278111776
81,entropy,1,2,5,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.21598227818807
82,entropy,1,2,10,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.2236928145090737
83,entropy,1,2,20,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.2142252127329507
84,entropy,5,2,2,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.175846576690674
85,entropy,5,2,5,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.1704647541046143
87,entropy,5,2,20,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.1807899475097656
95,entropy,20,2,20,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.162498712539673
88,entropy,10,2,2,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.1538941065470376
89,entropy,10,2,5,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.173259735107422
90,entropy,10,2,10,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.1725850900014243
91,entropy,10,2,20,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.1644765535990396
92,entropy,20,2,2,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.1510815620422363
86,entropy,5,2,10,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.1739229361216226
94,entropy,20,2,10,-0.5946172903783751,0.0017794407041580257,-0.5947273548387115,0.0008292231930924054,145,3.15675950050354
